srcNodeId	srcNodeType	dstNodeId	dstNodeType	rel	status	mimeType	remoteIpAddress	fromServiceWorker
59116b4c9abb76cc0dd03f9803fb9ec9	Resource	8_D209C1B32E8178359D7E0707ECA6F840_CCC16432E81CA21B66CA4B964B65C6BD	Script	respond	200	text/javascript	Unknown	False
b880f0abf7207cf80f7f5136f945e836	Resource	8_D209C1B32E8178359D7E0707ECA6F840_CCC16432E81CA21B66CA4B964B65C6BD	Script	respond	200	text/javascript	Unknown	False
3f09530bbf9dcd1b9b5665c2ad9919bb	Resource	8_D209C1B32E8178359D7E0707ECA6F840_CCC16432E81CA21B66CA4B964B65C6BD	Script	respond	200	text/javascript	Unknown	False
444d05ddc5c4ab422effb4e2fd41a6f7	Resource	8_D209C1B32E8178359D7E0707ECA6F840_CCC16432E81CA21B66CA4B964B65C6BD	Script	respond	200	text/javascript	Unknown	False
7b385ca66323b73d9853889a0d0d50d5	Resource	8_D209C1B32E8178359D7E0707ECA6F840_CCC16432E81CA21B66CA4B964B65C6BD	Script	respond	200	text/javascript	Unknown	False
72802a5c682dc2e4e029015205c4349b	Resource	8_D209C1B32E8178359D7E0707ECA6F840_CCC16432E81CA21B66CA4B964B65C6BD	Script	respond	200	text/javascript	Unknown	False
a3deb157581393139c509cd8f44cc515	Resource	8_D209C1B32E8178359D7E0707ECA6F840_CCC16432E81CA21B66CA4B964B65C6BD	Script	respond	200	text/javascript	Unknown	False
66e7e2214fac9747405ab58feb3c5cdd	Resource	8_D209C1B32E8178359D7E0707ECA6F840_CCC16432E81CA21B66CA4B964B65C6BD	Script	respond	200	text/javascript	Unknown	False
9312ec252d4242e52debf56b1e5d4345	Resource	8_D209C1B32E8178359D7E0707ECA6F840_CCC16432E81CA21B66CA4B964B65C6BD	Script	respond	200	text/javascript	Unknown	False
4e05d8966d696dfdb4c8e5db390bb689	Resource	8_D209C1B32E8178359D7E0707ECA6F840_CCC16432E81CA21B66CA4B964B65C6BD	Script	respond	200	text/javascript	Unknown	False
a9569b598f9708ec2dc22516a6a8bc0f	Resource	8_D209C1B32E8178359D7E0707ECA6F840_CCC16432E81CA21B66CA4B964B65C6BD	Script	respond	200	text/javascript	Unknown	False
241301a50de8a13f5292d37d8d923e0d	Resource	8_D209C1B32E8178359D7E0707ECA6F840_CCC16432E81CA21B66CA4B964B65C6BD	Script	respond	200	text/javascript	Unknown	False
