srcNodeId	srcNodeType	dstNodeId	dstNodeType	rel	wallTime	hasUserGesture	method	referrerPolicy	type
36_D209C1B32E8178359D7E0707ECA6F840_72DFC953581E8BA613D4BA55E04B9701	Script	61DE3D5C9A9DC4080E01C1E69A1892A0_EB7DC25756EA58B976D9D6FA25352FE1	Frame	create					
61DE3D5C9A9DC4080E01C1E69A1892A0_EB7DC25756EA58B976D9D6FA25352FE1	Frame	37_61DE3D5C9A9DC4080E01C1E69A1892A0_EB7DC25756EA58B976D9D6FA25352FE1	Script	compile					
61DE3D5C9A9DC4080E01C1E69A1892A0_EB7DC25756EA58B976D9D6FA25352FE1	Frame	38_61DE3D5C9A9DC4080E01C1E69A1892A0_EB7DC25756EA58B976D9D6FA25352FE1	Script	compile					
61DE3D5C9A9DC4080E01C1E69A1892A0_EB7DC25756EA58B976D9D6FA25352FE1	Frame	39_61DE3D5C9A9DC4080E01C1E69A1892A0_EB7DC25756EA58B976D9D6FA25352FE1	Script	compile					
61DE3D5C9A9DC4080E01C1E69A1892A0_EB7DC25756EA58B976D9D6FA25352FE1	Frame	40_61DE3D5C9A9DC4080E01C1E69A1892A0_EB7DC25756EA58B976D9D6FA25352FE1	Script	compile					
61DE3D5C9A9DC4080E01C1E69A1892A0_EB7DC25756EA58B976D9D6FA25352FE1	Frame	41_61DE3D5C9A9DC4080E01C1E69A1892A0_EB7DC25756EA58B976D9D6FA25352FE1	Script	compile					
61DE3D5C9A9DC4080E01C1E69A1892A0_EB7DC25756EA58B976D9D6FA25352FE1	Frame	42_61DE3D5C9A9DC4080E01C1E69A1892A0_EB7DC25756EA58B976D9D6FA25352FE1	Script	compile					
D209C1B32E8178359D7E0707ECA6F840_72DFC953581E8BA613D4BA55E04B9701	Frame	F9A9D328DECE549244F00289281785F9_FE7C55DA66CFC34E1AE9FA0155AB3053	Frame	attach					
D209C1B32E8178359D7E0707ECA6F840_72DFC953581E8BA613D4BA55E04B9701	Frame	F9A9D328DECE549244F00289281785F9_FE7C55DA66CFC34E1AE9FA0155AB3053	Frame	navigate					
38_D209C1B32E8178359D7E0707ECA6F840_72DFC953581E8BA613D4BA55E04B9701	Script	F9A9D328DECE549244F00289281785F9_FE7C55DA66CFC34E1AE9FA0155AB3053	Frame	create					
F9A9D328DECE549244F00289281785F9_FE7C55DA66CFC34E1AE9FA0155AB3053	Frame	43_F9A9D328DECE549244F00289281785F9_FE7C55DA66CFC34E1AE9FA0155AB3053	Script	compile					
