srcNodeId	dstNodeId	wallTime	hasUserGesture	method	referrerPolicy
70EED381A45CE886467251C2D6F69192_4A0AB17FB99C78B780EC6FD043DECB56	17_70EED381A45CE886467251C2D6F69192_4A0AB17FB99C78B780EC6FD043DECB56				
70EED381A45CE886467251C2D6F69192_4A0AB17FB99C78B780EC6FD043DECB56	18_70EED381A45CE886467251C2D6F69192_4A0AB17FB99C78B780EC6FD043DECB56				
70EED381A45CE886467251C2D6F69192_4A0AB17FB99C78B780EC6FD043DECB56	19_70EED381A45CE886467251C2D6F69192_4A0AB17FB99C78B780EC6FD043DECB56				
70EED381A45CE886467251C2D6F69192_4A0AB17FB99C78B780EC6FD043DECB56	20_70EED381A45CE886467251C2D6F69192_4A0AB17FB99C78B780EC6FD043DECB56				
70EED381A45CE886467251C2D6F69192_4A0AB17FB99C78B780EC6FD043DECB56	21_70EED381A45CE886467251C2D6F69192_4A0AB17FB99C78B780EC6FD043DECB56				
70EED381A45CE886467251C2D6F69192_4A0AB17FB99C78B780EC6FD043DECB56	22_70EED381A45CE886467251C2D6F69192_4A0AB17FB99C78B780EC6FD043DECB56				
70EED381A45CE886467251C2D6F69192_4A0AB17FB99C78B780EC6FD043DECB56	23_70EED381A45CE886467251C2D6F69192_4A0AB17FB99C78B780EC6FD043DECB56				
70EED381A45CE886467251C2D6F69192_4A0AB17FB99C78B780EC6FD043DECB56	24_70EED381A45CE886467251C2D6F69192_4A0AB17FB99C78B780EC6FD043DECB56				
70EED381A45CE886467251C2D6F69192_4A0AB17FB99C78B780EC6FD043DECB56	25_70EED381A45CE886467251C2D6F69192_4A0AB17FB99C78B780EC6FD043DECB56				
70EED381A45CE886467251C2D6F69192_4A0AB17FB99C78B780EC6FD043DECB56	26_70EED381A45CE886467251C2D6F69192_4A0AB17FB99C78B780EC6FD043DECB56				
70EED381A45CE886467251C2D6F69192_4A0AB17FB99C78B780EC6FD043DECB56	27_70EED381A45CE886467251C2D6F69192_4A0AB17FB99C78B780EC6FD043DECB56				
70EED381A45CE886467251C2D6F69192_4A0AB17FB99C78B780EC6FD043DECB56	28_70EED381A45CE886467251C2D6F69192_4A0AB17FB99C78B780EC6FD043DECB56				
70EED381A45CE886467251C2D6F69192_4A0AB17FB99C78B780EC6FD043DECB56	29_70EED381A45CE886467251C2D6F69192_4A0AB17FB99C78B780EC6FD043DECB56				
70EED381A45CE886467251C2D6F69192_4A0AB17FB99C78B780EC6FD043DECB56	30_70EED381A45CE886467251C2D6F69192_4A0AB17FB99C78B780EC6FD043DECB56				
