srcNodeId	dstNodeId	wallTime	hasUserGesture	method	referrerPolicy
8_15AE3C99C01EDF1185E78251F6E436AA_0AB52CC6FDFBC657246F46DBB44FB409	16566e25d3b055b1580ea1f77bc7b267	1763089897.608738	False	GET	same-origin
8_15AE3C99C01EDF1185E78251F6E436AA_0AB52CC6FDFBC657246F46DBB44FB409	412b7b81536e78f015897d0322633a6b	1763089897.609154	False	GET	same-origin
8_15AE3C99C01EDF1185E78251F6E436AA_0AB52CC6FDFBC657246F46DBB44FB409	2d633b5f5065241c4adb74ceebae898b	1763089898.609579	False	GET	same-origin
8_15AE3C99C01EDF1185E78251F6E436AA_0AB52CC6FDFBC657246F46DBB44FB409	65b183b328f496046540bef2f1b61466	1763089899.610173	False	GET	same-origin
8_15AE3C99C01EDF1185E78251F6E436AA_0AB52CC6FDFBC657246F46DBB44FB409	003c46a18ad246b1b8e4840ad94ac3fc	1763089900.610698	False	GET	same-origin
8_15AE3C99C01EDF1185E78251F6E436AA_0AB52CC6FDFBC657246F46DBB44FB409	aaae34acb65d7a4b6e9a1df1f4201cbe	1763089901.611276	False	GET	same-origin
8_15AE3C99C01EDF1185E78251F6E436AA_0AB52CC6FDFBC657246F46DBB44FB409	489b1fe8996ee37a751ad0870dd327df	1763089902.611839	False	GET	same-origin
8_15AE3C99C01EDF1185E78251F6E436AA_0AB52CC6FDFBC657246F46DBB44FB409	80416bdccb1f87e331a136e18359296f	1763089903.61226	False	GET	same-origin
8_15AE3C99C01EDF1185E78251F6E436AA_0AB52CC6FDFBC657246F46DBB44FB409	4f2b45d278d8e6b053500cf3da7ba485	1763089904.612856	False	GET	same-origin
8_15AE3C99C01EDF1185E78251F6E436AA_0AB52CC6FDFBC657246F46DBB44FB409	6c20b50accfa26034b1e899511449201	1763089905.613375	False	GET	same-origin
8_15AE3C99C01EDF1185E78251F6E436AA_0AB52CC6FDFBC657246F46DBB44FB409	44c14eb845b043902f490feee0063ed2	1763089906.613896	False	GET	same-origin
8_15AE3C99C01EDF1185E78251F6E436AA_0AB52CC6FDFBC657246F46DBB44FB409	f2ab1835745489a5c5c67e201ca5ef7e	1763089907.614325	False	GET	same-origin
38_15AE3C99C01EDF1185E78251F6E436AA_8A0F806D1555946B9B6B8A1EA5ABAC8C	abed206c99a215f53809646705cccb4f	1763089908.61816	False	GET	same-origin
8_15AE3C99C01EDF1185E78251F6E436AA_0AB52CC6FDFBC657246F46DBB44FB409	016c69037605da61e2d303b0ec6b01b4	1763089908.615387	False	GET	same-origin
38_15AE3C99C01EDF1185E78251F6E436AA_8A0F806D1555946B9B6B8A1EA5ABAC8C	19a6f412a7364c51f1d3a37b5b528bb7	1763089908.621229	False	GET	same-origin
